#time	open_probability	IP3	Ca
0.0	-0.01	10.0	0.1
0.07	0.113
0.14	0.065
0.21	0.037
0.28	0.022
0.35	0.017
0.42	0.008
0.49	0.008
0.56	0.011
0.63	0.005
0.7	0.01
0.77	0.006
0.84	0.009
0.91	0.006
0.98	0.008

0.0	-0.018	10.0	0.2
0.07	0.174
0.14	0.106
0.21	0.065
0.28	0.036
0.35	0.024
0.42	0.015
0.49	0.01
0.56	0.0069999999999999
0.63	0.005
0.7	0.006
0.77	0.008
0.84	0.005
0.91	0.017
0.98	0.015

0.0	0.008	10.0	0.4
0.07	0.327
0.14	0.297
0.21	0.189
0.28	0.121
0.35	0.084
0.42	0.057
0.49	0.047
0.56	0.04
0.63	0.039
0.7	0.036
0.77	0.03
0.84	0.024
0.91	0.024
0.98	0.026

0.0	0.012	10.0	1.0
0.07	0.253
0.14	0.214
0.21	0.109
0.28	0.047
0.35	0.022
0.42	0.016
0.49	0.013
0.56	0.012
0.63	0.012
0.7	0.012
0.77	0.012
0.84	0.012
0.91	0.004
0.98	0.005

0.0	0.052	10.0	3.0
0.07	0.238
0.14	0.178
0.21	0.095
0.28	0.062
0.35	0.035
0.42	0.026
0.49	0.019
0.56	0.016
0.63	0.018
0.7	0.008
0.77	0.005
0.84	0.01
0.91	0.011
0.98	0.0069999999999999

0.0	0.014	10.0	10.0
0.07	0.185
0.14	0.176
0.21	0.141
0.28	0.087
0.35	0.049
0.42	0.036
0.49	0.025
0.56	0.018
0.63	0.012
0.7	0.014
0.77	0.009
0.84	0.01
0.91	0.014
0.98	0.013

0.0	0.005	3.0	0.4
0.07	0.015
0.14	0.073
0.21	0.102
0.28	0.102
0.35	0.09
0.42	0.084
0.49	0.071
0.56	0.06
0.63	0.056
0.7	0.051
0.77	0.052
0.84	0.049
0.91	0.051
0.98	0.042

0.0	0.0	5.0	0.4
0.07	0.129
0.14	0.263
0.21	0.187
0.28	0.119
0.35	0.084
0.42	0.066
0.49	0.058
0.56	0.047
0.63	0.047
0.7	0.047
0.77	0.037
0.84	0.033
0.91	0.027
0.98	0.028

0.0	0.014	10.0	0.4
0.07	0.202
0.14	0.337
0.21	0.231
0.28	0.142
0.35	0.094
0.42	0.067
0.49	0.06
0.56	0.05
0.63	0.043
0.7	0.038
0.77	0.031
0.84	0.027
0.91	0.025
0.98	0.026
